ano,Maranhão,Nordeste,Brasil
2006,33.0,37.9,13.8
2007,45.8,35.0,14.8
2008,38.6,34.3,13.5
2009,41.3,30.6,12.8
2010,37.3,34.8,12.5
2011,40.5,36.7,11.8
2012,11.6,26.0,10.3
2013,22.7,30.9,10.6
2014,21.7,23.1,10.3
2015,23.1,30.8,11.0
2016,24.5,20.5,11.5
2017,23.4,21.5,11.4
2018,26.3,21.9,11.3
2019,30.1,18.5,10.8
2020,27.0,17.5,10.0
2021,22.6,17.4,9.4
2022,23.1,36.8,20.9
