ano,Maranhão,Nordeste,Brasil
2006,176,2267,21353
2007,153,2368,23374
2008,207,2500,24502
2009,196,2607,25079
2010,209,2958,27107
2011,210,3368,29876
2012,155,3028,33417
2013,300,3679,36812
2014,240,3802,38025
2015,247,4128,39202
2016,220,3195,38895
2017,218,2948,38432
2018,209,2899,38050
2019,226,2668,38403
2020,248,2659,39273
2021,323,2890,42250
2022,325,3904,49900
